Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-10000-0000,2021-11-10,2021-11-13,Second Class,CG-93104,Customer 0,Home Office,United States,Missouri City,Missouri,63707,Central,OFF-4385,Furniture,Bookcases,Bookcases Item 22,2852.33,5,0.2,-653.31
2,CA-10001-0001,2020-11-30,2020-12-06,Standard Class,CG-41551,Customer 1,Home Office,United States,Idaho City,Idaho,21394,West,OFF-4556,Furniture,Bookcases,Bookcases Item 7,4433.78,12,0.1,-338.11
3,CA-10002-0002,2019-08-30,2019-09-01,Same Day,CG-90077,Customer 2,Consumer,United States,Idaho City,Idaho,45920,West,OFF-2585,Technology,Accessories,Accessories Item 40,24821.85,12,0.0,4302.06
4,CA-10003-0003,2020-12-03,2020-12-09,Standard Class,CG-11016,Customer 3,Corporate,United States,North Carolina City,North Carolina,99789,South,OFF-7439,Office Supplies,Envelopes,Envelopes Item 21,2031.5,8,0.1,202.59
5,CA-10004-0004,2019-08-05,2019-08-11,Standard Class,CG-23986,Customer 4,Consumer,United States,Alabama City,Alabama,71858,South,OFF-6892,Office Supplies,Labels,Labels Item 42,1123.46,13,0.0,313.56
6,CA-10005-0005,2020-05-17,2020-05-22,Standard Class,CG-80592,Customer 5,Corporate,United States,Nebraska City,Nebraska,18110,Central,OFF-4840,Technology,Phones,Phones Item 5,6459.58,6,0.4,-2297.11
7,CA-10006-0006,2019-07-26,2019-07-31,Standard Class,CG-90356,Customer 6,Home Office,United States,New Jersey City,New Jersey,81910,East,OFF-7892,Technology,Accessories,Accessories Item 15,4063.95,7,0.1,567.79
8,CA-10007-0007,2022-01-14,2022-01-20,Standard Class,CG-79163,Customer 7,Home Office,United States,Missouri City,Missouri,35939,Central,OFF-6450,Furniture,Furnishings,Furnishings Item 28,7560.92,6,0.1,-158.52
9,CA-10008-0008,2020-09-24,2020-09-30,Standard Class,CG-76199,Customer 8,Consumer,United States,Utah City,Utah,44766,West,OFF-8994,Office Supplies,Binders,Binders Item 32,939.61,11,0.1,75.38
10,CA-10009-0009,2020-03-17,2020-03-23,Standard Class,CG-36736,Customer 9,Consumer,United States,Arkansas City,Arkansas,10854,South,OFF-9164,Furniture,Furnishings,Furnishings Item 32,2152.82,5,0.0,184.16
11,CA-10010-0010,2020-12-30,2021-01-05,Standard Class,CG-62083,Customer 10,Corporate,United States,California City,California,75733,West,OFF-8125,Technology,Accessories,Accessories Item 11,2308.14,8,0.0,369.09
12,CA-10011-0011,2022-10-04,2022-10-09,Standard Class,CG-21411,Customer 11,Home Office,United States,Texas City,Texas,12911,Central,OFF-2734,Furniture,Furnishings,Furnishings Item 41,1930.04,3,0.3,-541.95
13,CA-10012-0012,2020-04-17,2020-04-21,Second Class,CG-12049,Customer 12,Consumer,United States,Montana City,Montana,41616,West,OFF-6423,Technology,Accessories,Accessories Item 12,9731.13,12,0.0,1952.57
14,CA-10013-0013,2021-03-26,2021-04-01,Standard Class,CG-42711,Customer 13,Consumer,United States,Arizona City,Arizona,15539,West,OFF-5199,Technology,Machines,Machines Item 20,13163.54,8,0.3,-3042.25
15,CA-10014-0014,2021-07-02,2021-07-04,Same Day,CG-96831,Customer 14,Home Office,United States,Ohio City,Ohio,13987,East,OFF-7015,Office Supplies,Binders,Binders Item 8,1927.33,13,0.0,387.91
16,CA-10015-0015,2021-08-12,2021-08-17,Standard Class,CG-86213,Customer 15,Consumer,United States,Michigan City,Michigan,15895,Central,OFF-4354,Furniture,Furnishings,Furnishings Item 27,5901.55,6,0.0,822.41
17,CA-10016-0016,2020-03-28,2020-04-03,Standard Class,CG-92989,Customer 16,Home Office,United States,Massachusetts City,Massachusetts,46212,East,OFF-2060,Office Supplies,Binders,Binders Item 24,87.83,1,0.0,21.91
18,CA-10017-0017,2021-09-19,2021-09-21,Same Day,CG-44584,Customer 17,Home Office,United States,California City,California,42745,West,OFF-6854,Office Supplies,Appliances,Appliances Item 3,355.81,3,0.0,92.34
19,CA-10018-0018,2021-08-19,2021-08-20,Same Day,CG-15801,Customer 18,Home Office,United States,Louisiana City,Louisiana,29190,South,OFF-1537,Office Supplies,Fasteners,Fasteners Item 35,263.83,1,0.0,71.89
20,CA-10019-0019,2019-02-05,2019-02-10,Standard Class,CG-23403,Customer 19,Corporate,United States,New York City,New York,42097,East,OFF-6919,Furniture,Furnishings,Furnishings Item 23,2562.26,12,0.4,-1053.23
21,CA-10020-0020,2022-02-22,2022-02-28,Standard Class,CG-90135,Customer 20,Corporate,United States,Minnesota City,Minnesota,29508,Central,OFF-6691,Technology,Phones,Phones Item 44,961.06,6,0.0,96.51
22,CA-10021-0021,2021-06-02,2021-06-08,Standard Class,CG-93613,Customer 21,Corporate,United States,Alabama City,Alabama,96672,South,OFF-9311,Technology,Copiers,Copiers Item 19,14247.8,13,0.5,-7532.79
23,CA-10022-0022,2021-03-01,2021-03-06,Standard Class,CG-30056,Customer 22,Consumer,United States,North Carolina City,North Carolina,55543,South,OFF-8404,Technology,Accessories,Accessories Item 1,505.1,1,0.1,17.19
24,CA-10023-0023,2021-05-10,2021-05-15,Standard Class,CG-71389,Customer 23,Home Office,United States,Alabama City,Alabama,19435,South,OFF-6188,Technology,Copiers,Copiers Item 47,3108.04,6,0.0,589.81
25,CA-10024-0024,2019-12-07,2019-12-10,Second Class,CG-50158,Customer 24,Corporate,United States,Nevada City,Nevada,75417,West,OFF-7905,Furniture,Furnishings,Furnishings Item 19,4574.02,10,0.2,-1015.44
